"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov"
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.0508019524987679,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.139818219743963,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.0527861161599999,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.131785207507659,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.160871606805236,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.163900428997428,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.17590007423542,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.155975491729352,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.131428499306423,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.171196794209487,1
