species,study.doi,year.of.publication,group,continent,driver,driver.type,stage.age,vital.rates,sens,gen.time,n.vr,n.pam,dens,biotic_interactions
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001717693,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001177423,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000986246,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001446661,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001704894,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000569024,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.002354018,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001205541,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001066136,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001323315,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00184496,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001294751,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001672477,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001344294,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001729636,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000813805,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00192174,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001508073,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001328267,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001531872,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000562934,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001164623,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001256729,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.00205324,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001673808,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001098367,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001907025,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000766741,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000570931,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000911339,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001894738,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001512569,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001737364,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001122222,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001487802,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000674381,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000887121,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00088117,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.002209919,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.002012185,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000813347,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001047402,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000961077,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001163779,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001617168,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001188751,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.0017425,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001131384,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001880424,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000309708,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000759188,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000505579,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001651466,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001429044,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001152005,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000842345,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001026727,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000365526,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000798179,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001095851,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,3.69E-05,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001010855,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.00125812,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00086334,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000985259,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001569165,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001131169,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001280518,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000425046,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001267942,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00105073,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000411644,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001249098,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000919278,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000151809,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000765489,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000988098,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.00037802,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001263671,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001307794,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000514643,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00049153,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000801134,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000491062,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00161685,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000640002,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000639232,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001068721,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001070493,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000637764,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000789464,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000451521,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001847995,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000661637,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000676533,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001181472,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000985197,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001123326,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001299536,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000711415,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001359445,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000827518,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000509394,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000753359,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000850091,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000517588,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001144326,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.00034847,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000723753,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000649057,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001060638,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00058019,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000178579,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000810827,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000547522,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000180025,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001105867,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001049504,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000930412,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000289481,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000644367,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001105009,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000675003,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000172975,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000919391,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.00065123,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001242735,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000395032,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000878479,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,4.13E-06,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000382604,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000715325,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00142623,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000762537,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000974227,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000561091,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000586349,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000373557,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001404498,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001042007,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001023255,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000792625,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000367949,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001862491,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00064187,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000224847,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000614049,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000831614,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000576689,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.013544746,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.013531437,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.011787803,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.012779121,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.014730983,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.012898261,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.014044825,6,3,12,1,0
