"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions","mat","lambda.sim","study.length"
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0271490978651175,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.020324735511684,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0402969380434575,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.03088872878281,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0290369479641395,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0303390837042422,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0112218519452398,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.027433875025302,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0861364116691945,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.041607675902894,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0882453688766432,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0537227391573114,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0288572590827276,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0208181249344795,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0945160948738075,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0366726182608104,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0308656013014435,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0555736539556465,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0524309038304128,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0284541474878619,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0219147419084642,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0238793541529292,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0633327152579308,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0301091567717005,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.035527849005373,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0680646635386596,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0286805464670008,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0610457931366941,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.118729784748497,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0818094285888655,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0279981951863309,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0398781955137326,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0427794899456175,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0288137001042302,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.021101260421515,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0264974929332152,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0451537338410752,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0476199030687599,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.15006558490809,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0208678886877191,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.019741645219963,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0347261405367403,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0668291019360938,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.077699692901492,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0438642025287126,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0192444539415669,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0230876540751726,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0486697853445146,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0418177434156392,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0433930296798377,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0322019922487512,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0203332487774711,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0457700199415831,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0311499566659928,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0249681443561842,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0119031031486188,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0318497138028808,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0268515940313568,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0192271481441318,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0556849247072335,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0331069704277888,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0361558845078704,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0261015979200102,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0303459737400898,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0345656999495532,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0370140984601729,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.110518599228478,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0461689804555226,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0266253590471605,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0290005940907167,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0174900728879326,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0189358882879579,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0388480981385237,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0217169156771121,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0252127618143835,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0193052602246421,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","non-reproductive","survival",0.0165527048703921,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0233542677050945,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0217974226622326,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0716918256914637,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0680381213039518,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0549714729630009,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0237723186137135,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0234161253680895,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0359395301965139,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0533361951851541,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0817574409048771,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.018327428296187,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0213717999743649,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0384805499903221,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0166918552419397,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0807454809631679,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0211127526924776,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0240977381445631,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0557528824868837,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0418920492743115,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0313076758096993,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0193168180428037,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0223968941795561,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0776857283022997,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0169068011786581,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0544125610452545,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0314848149384975,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0626435626848235,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0411606904970839,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0287150843112488,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0240486180528453,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0828033749590792,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0324824758215668,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.033099287155532,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0659432771065976,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0317353438033008,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0435071689468601,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0407288271634801,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.216352162863496,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0296913958499623,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0532432852504887,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0358423178739165,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0146313967204644,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0362839931790004,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0547644572904584,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0334357664506122,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0669997522189721,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0604407742296038,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0299963280209944,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0797572832538452,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0282504865806403,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0273550231808076,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0235919711731469,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.117006969617891,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.471189051637899,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0274591024479738,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.031466464313212,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0368552680000353,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0326227989958868,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0639155311878677,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0826162241832587,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0306297207043943,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0330026203108427,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0187505145912194,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0354648231794175,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0246028676783063,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0271667643305606,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.067003336843488,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0647728888255762,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0343571071210403,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0296986573641261,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0509090290486922,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0338907352813427,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0219978481985877,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0232649345070105,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.026703616495258,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0317677931377982,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0998612552606918,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0244744710678967,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","survival",0.0424638162058604,2,5,156,1,0,2,1,11
