"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141441215146569,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141456699533944,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141457675033478,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145774656897,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141463790765917,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145821732588,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455998981072,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141433926946058,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141446126378065,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141460723507181,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141460117100691,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141451084780742,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455452890478,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455965221625,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141466243409729,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141465556180069,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141461679694424,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141462978134189,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14147531582439,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141450818659843,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141453360189967,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14146296418232,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145481354323,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452243269661,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141446705220597,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141475063640749,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257700550645798,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257640647774618,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257487139701547,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257638161386712,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257716825477431,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.25763665950847,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257731627887052,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257651545875653,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257590832932934,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257592847826767,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257651253753837,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257678586986427,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257609142000011,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257661890474783,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257653321022473,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257662398001852,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257675311006625,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257612758328983,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257615856717857,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257619895437875,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257668283484708,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257591508355569,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257546790388857,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257600264063693,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257632550815436,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257678983261926,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257619186867079,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257705151234934,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257608788808114,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257743526194386,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257664118792052,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257664254510404,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257671243179665,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257579727594846,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257636093116909,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257690641284142,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257721521816213,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257621882463881,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257583634188245,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257614502633034,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257593374101499,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257717057450869,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257686224011338,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257590047566995,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.2576419764931,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257690676859119,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257687122542648,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257667706515644,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257606202385409,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257643376589917,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257668969042032,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257674780909852,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257716373305567,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257697259462327,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257656711160418,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257587958186811,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257606075115876,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257624141695181,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257722355119037,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.25764401833297,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.25760653753898,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257703163218998,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257698860340334,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257615565730919,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257714891016626,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257595067391544,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257643886501602,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257593259186122,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257710517069834,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257735575753548,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257730322459162,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257655180961693,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257574057818815,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257604396008985,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257655644937242,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257577869873372,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257605334228006,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257686953295437,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257673938474708,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257695441099231,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257683614507451,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257686707385123,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257594188709843,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257696318894471,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257554472209925,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257580250241535,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257730503569796,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257607979916472,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257661568912378,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257547653138,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.25768703777217,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257637741933293,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257733302482182,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257691949225135,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257701789135749,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.25763982295496,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257645227757614,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257601362422418,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257620576934843,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.257673744148337,1,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125375138753993,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125508682433936,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125411086575391,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125599934386533,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125231490509602,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125424372689248,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125619991952852,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125266844852767,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125510292110398,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.012533236349961,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125426564137839,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","precipitation","C","all","all",0.0125041888613616,0,2,5,45,0,0
